,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
19518,8.68,8.68,2.31,2.6792000000000007,0.36920000000000064,0.0
19937,0.78,0.78,0.38,0.47759999999999997,0.09759999999999996,0.0
20034,1.89,1.89,0.34,0.22719999999999996,0.11280000000000007,0.0
20040,1.88,1.88,0.48,0.5135000000000002,0.033500000000000196,0.0
20201,0.96,0.96,0.4,0.41999999999999993,0.019999999999999907,0.0
20429,3.52,3.52,0.88,1.0423000000000007,0.16230000000000067,0.0
20434,3.72,3.72,1.02,1.1356000000000002,0.11560000000000015,0.0
20437,5.21,5.21,1.13,1.3504000000000003,0.22040000000000037,0.0
20467,2.11,2.11,0.54,0.4650000000000001,0.07499999999999996,0.0
20482,3.38,3.38,0.45,0.49540000000000006,0.04540000000000005,0.0
20496,4.83,4.83,1.0,1.0447000000000002,0.044700000000000184,0.0
20539,2.33,2.33,0.73,0.7154999999999998,0.01450000000000018,0.0
20552,0.21,0.21,0.29,0.2745,0.015499999999999958,0.0
20871,0.51,0.51,0.01,0.14639999999999995,0.13639999999999994,0.0
20899,0.51,0.51,0.08,0.07890000000000005,0.0010999999999999482,0.0
20949,3.87,3.87,0.84,0.8185999999999997,0.021400000000000308,0.0
20979,1.83,3.0192000000000005,0.58,1.0340999999999996,0.4540999999999996,1.1892000000000005
21013,2.74,2.74,0.55,0.7845000000000002,0.23450000000000015,0.0
21019,3.96,3.96,1.06,1.157599999999999,0.09759999999999902,0.0
21049,6.8,6.8,2.15,2.1271,0.02289999999999992,0.0
21095,3.01,3.01,0.67,0.8644000000000003,0.19440000000000024,0.0
21240,4.94,4.94,0.67,0.7303000000000001,0.06030000000000002,0.0
21259,1.27,1.27,0.5,0.8414999999999999,0.3414999999999999,0.0
21274,2.89,2.89,0.74,0.9160000000000005,0.1760000000000005,0.0
21311,2.15,2.15,0.87,0.5972999999999999,0.27270000000000005,0.0
21353,2.62,2.62,0.76,0.7851999999999997,0.025199999999999667,0.0
21374,3.34,3.34,0.76,0.8257999999999995,0.06579999999999953,0.0
21403,0.8,0.8,0.21,0.30640000000000006,0.09640000000000007,0.0
21483,4.3,4.3,0.93,1.0685000000000004,0.1385000000000004,0.0
21541,2.96,2.96,0.37,0.5194999999999999,0.14949999999999986,0.0
21570,5.25,5.25,0.84,0.9098999999999994,0.06989999999999941,0.0
21646,0.86,0.86,0.61,0.5653999999999998,0.044600000000000195,0.0
21713,3.73,3.73,0.82,1.0500000000000005,0.23000000000000054,0.0
21735,5.64,5.64,1.34,1.9083,0.5683,0.0
21826,1.74,1.74,1.06,0.6650999999999999,0.39490000000000014,0.0
22143,1.84,1.84,0.3,0.5663999999999998,0.2663999999999998,0.0
22171,0.7,0.7,0.71,0.5622999999999999,0.14770000000000005,0.0
22188,0.92,0.92,0.64,0.5714999999999999,0.06850000000000012,0.0
22199,2.36,2.36,1.11,0.7413000000000003,0.3686999999999998,0.0
22224,1.78,1.78,0.73,0.4538999999999999,0.27610000000000007,0.0
22331,2.33,2.33,0.92,0.5888000000000001,0.33119999999999994,0.0
22543,2.58,2.58,1.14,0.9246000000000002,0.2153999999999997,0.0
22598,1.3,1.3,0.0,0.0908,0.0908,0.0
22634,4.17,4.17,0.4,0.5250999999999998,0.12509999999999977,0.0
22796,1.05,1.05,0.64,0.5724,0.0676,0.0
22882,1.25,1.25,0.26,0.28090000000000015,0.02090000000000014,0.0
23004,0.29,0.29,0.07,0.14230000000000004,0.07230000000000003,0.0
23020,0.54,0.54,0.06,0.08309999999999997,0.023099999999999968,0.0
23049,0.26,0.6752000000000001,0.26,0.41480000000000006,0.15480000000000005,0.4152000000000001
23071,2.04,2.04,0.59,0.48739999999999983,0.10260000000000014,0.0
23146,2.22,2.22,0.88,0.6054000000000002,0.27459999999999984,0.0
